 1/59  Run: https://www.zegnagroup.com/it/.
 2/59  Run: https://www.zegnagroup.com/it/cookie-policy/.
 3/59  Run: https://www.zegnagroup.com/it/corporate-governance/.
 4/59  Run: https://www.zegnagroup.com/it/corporate-governance/board-of-directors/.
"type","code","message","context","selector"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","<title>Corporate governance | Ermenegi...</title>","html > head > title"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","<link rel=\"mask-icon\" href=\"https://www.zegnagroup.com/wp-content/themes/zegna-group/build/favicon/safari-pinned-tab.svg\" color=\"#757575\">","html > head > link:nth-child(10)"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"about:blank\" title=\"\" style=\"width: 0px; height: 0px; border: 0px; display: none;\"></iframe>","html > head > iframe"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","<div class=\"globalHeader__top\">                    <div class=...</div>","html > body > div > div > header > div"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<p class=\"ticker__text js-ticker\" data-tickerfeed=\"https://www.zegnagroup.com/it/tickerfeed/\">NYSE: ZGN $ 9.04 (- 0.51$ ; - 5...</p>","html > body > div > div > header > div > div:nth-child(1) > p"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.55:1. Recommendation: change text colour to #767676.","<p class=\"ticker__text js-ticker\" data-tickerfeed=\"https://www.zegnagroup.com/it/tickerfeed/\">NYSE: ZGN $ 9.04 (- 0.51$ ; - 5...</p>","html > body > div > div > header > div > div:nth-child(1) > p"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"hamburgerMenu js-hamburgerMenu\" href=\"javascript:;\">Menu</a>","html > body > div > div > header > div > a:nth-child(2)"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81,H33","Check that the link text combined with programmatically determined link context, or its title attribute, identifies the purpose of the link.","<a class=\"homeLink\" href=\"https://www.zegnagroup.com/it/\" title=\"Ermenegildo Zegna Group homepage\">            <img class=\"logoZeg...</a>","html > body > div > div > header > div > a:nth-child(3)"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","<img class=\"logoZegna\" alt=\"Ermenegildo Zegna Group\" src=\"https://www.zegnagroup.com/wp-content/themes/zegna-group/build/images/logo-black@2x.png\">","html > body > div > div > header > div > a:nth-child(3) > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"logoZegna\" alt=\"Ermenegildo Zegna Group\" src=\"https://www.zegnagroup.com/wp-content/themes/zegna-group/build/images/logo-black@2x.png\">","html > body > div > div > header > div > a:nth-child(3) > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<a class=\"languageMenu\" href=\"javascript:;\">                    IT         ...</a>","html > body > div > div > header > div > div:nth-child(4) > a"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.55:1. Recommendation: change text colour to #767676.","<a class=\"languageMenu\" href=\"javascript:;\">                    IT         ...</a>","html > body > div > div > header > div > div:nth-child(4) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"languageMenu\" href=\"javascript:;\">                    IT         ...</a>","html > body > div > div > header > div > div:nth-child(4) > a"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.I","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","<i class=\"ico ico-triangle-down\"></i>","html > body > div > div > header > div > div:nth-child(4) > a > i"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.55:1. Recommendation: change text colour to #767676.","<a href=\"https://www.zegnagroup.com/en/corporate-governance/\">                               ...</a>","html > body > div > div > header > div > div:nth-child(4) > ul > li:nth-child(1) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.zegnagroup.com/en/corporate-governance/\">                               ...</a>","html > body > div > div > header > div > div:nth-child(4) > ul > li:nth-child(1) > a"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.55:1. Recommendation: change text colour to #767676.","<a href=\"https://www.zegnagroup.com/ja/corporate-governance/\">                               ...</a>","html > body > div > div > header > div > div:nth-child(4) > ul > li:nth-child(2) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.zegnagroup.com/ja/corporate-governance/\">                               ...</a>","html > body > div > div > header > div > div:nth-child(4) > ul > li:nth-child(2) > a"
